-1<=w<-0.8 : 3851, 8915
-0.8<=w<-0.6 : , 5416, 8384
-0.6<=w<-0.4 : , 13570, 18312
-0.4<=w<-0.2 : , 58216, 71170
-0.2<=w<0 : , 156934, 169008
0<=w<-0.2 : , 199162, 188221
0.2<=w<0.4 : , 54681, 45378
0.4<=w<0.6 : , 8675, 18312
0.6<=w<0.8 : , 3258, 2188
0.8<=w<=1 : , 10301, 4360
epoch, 33
-1<=w<-0.8 : 3587, 8706
-0.8<=w<-0.6 : , 5261, 8533
-0.6<=w<-0.4 : , 10538, 14797
-0.4<=w<-0.2 : , 54118, 66023
-0.2<=w<0 : , 156581, 168151
0<=w<-0.2 : , 188991, 177289
0.2<=w<0.4 : , 55976, 45484
0.4<=w<0.6 : , 6929, 14797
0.6<=w<0.8 : , 3008, 2174
0.8<=w<=1 : , 10141, 4212
epoch, 34
-1<=w<-0.8 : 3691, 9161
-0.8<=w<-0.6 : , 4742, 7728
-0.6<=w<-0.4 : , 11540, 15819
-0.4<=w<-0.2 : , 52172, 63251
-0.2<=w<0 : , 154655, 164875
0<=w<-0.2 : , 184636, 173821
0.2<=w<0.4 : , 53368, 43741
0.4<=w<0.6 : , 7520, 15819
0.6<=w<0.8 : , 3410, 2370
0.8<=w<=1 : , 9062, 3470
epoch, 35
-1<=w<-0.8 : 3748, 8685
-0.8<=w<-0.6 : , 4940, 7508
-0.6<=w<-0.4 : , 12642, 17038
-0.4<=w<-0.2 : , 53471, 64319
-0.2<=w<0 : , 153577, 163875
0<=w<-0.2 : , 194019, 182150
0.2<=w<0.4 : , 51932, 42454
0.4<=w<0.6 : , 7677, 17038
0.6<=w<0.8 : , 3963, 2450
0.8<=w<=1 : , 8689, 3628
epoch, 36
-1<=w<-0.8 : 4003, 9430
-0.8<=w<-0.6 : , 4911, 7726
-0.6<=w<-0.4 : , 13949, 19000
-0.4<=w<-0.2 : , 54440, 65941
-0.2<=w<0 : , 157141, 168213
0<=w<-0.2 : , 194074, 181998
0.2<=w<0.4 : , 56497, 46357
0.4<=w<0.6 : , 7055, 19000
0.6<=w<0.8 : , 3721, 2527
0.8<=w<=1 : , 9896, 3994
epoch, 37
-1<=w<-0.8 : 4081, 9672
-0.8<=w<-0.6 : , 5065, 8090
-0.6<=w<-0.4 : , 14601, 19348
-0.4<=w<-0.2 : , 59606, 72726
-0.2<=w<0 : , 161295, 173842
0<=w<-0.2 : , 196599, 185320
0.2<=w<0.4 : , 55517, 45649
0.4<=w<0.6 : , 9319, 19348
0.6<=w<0.8 : , 2710, 1800
0.8<=w<=1 : , 9697, 4160
epoch, 38
-1<=w<-0.8 : 3772, 9057
-0.8<=w<-0.6 : , 4826, 7931
-0.6<=w<-0.4 : , 12311, 16858
-0.4<=w<-0.2 : , 56363, 68732
-0.2<=w<0 : , 161754, 173259
0<=w<-0.2 : , 195460, 182176
0.2<=w<0.4 : , 56522, 46088
0.4<=w<0.6 : , 7473, 16858
0.6<=w<0.8 : , 3872, 2682
0.8<=w<=1 : , 10103, 4178
epoch, 39
-1<=w<-0.8 : 3433, 8355
-0.8<=w<-0.6 : , 4916, 7965
-0.6<=w<-0.4 : , 11060, 15178
-0.4<=w<-0.2 : , 58611, 71017
-0.2<=w<0 : , 157862, 169209
0<=w<-0.2 : , 184394, 174377
0.2<=w<0.4 : , 52017, 42282
0.4<=w<0.6 : , 7712, 15178
0.6<=w<0.8 : , 2964, 1902
0.8<=w<=1 : , 9164, 3619
epoch, 40
-1<=w<-0.8 : 3664, 8718
-0.8<=w<-0.6 : , 5153, 7942
-0.6<=w<-0.4 : , 14401, 19367
-0.4<=w<-0.2 : , 51681, 62632
-0.2<=w<0 : , 158403, 168636
0<=w<-0.2 : , 192459, 178700
0.2<=w<0.4 : , 54610, 44290
0.4<=w<0.6 : , 8075, 19367
0.6<=w<0.8 : , 2797, 1926
0.8<=w<=1 : , 10028, 4283
epoch, 41
-1<=w<-0.8 : 3798, 9156
-0.8<=w<-0.6 : , 4965, 8397
-0.6<=w<-0.4 : , 13396, 18437
-0.4<=w<-0.2 : , 50863, 61838
-0.2<=w<0 : , 161156, 174365
0<=w<-0.2 : , 188789, 178073
0.2<=w<0.4 : , 52954, 43599
0.4<=w<0.6 : , 7416, 18437
0.6<=w<0.8 : , 2703, 1716
0.8<=w<=1 : , 9435, 3854
epoch, 42
-1<=w<-0.8 : 3564, 8534
-0.8<=w<-0.6 : , 4808, 7797
-0.6<=w<-0.4 : , 10719, 14712
-0.4<=w<-0.2 : , 54942, 66235
-0.2<=w<0 : , 151116, 160863
0<=w<-0.2 : , 187097, 173556
0.2<=w<0.4 : , 55509, 45024
0.4<=w<0.6 : , 7647, 14712
0.6<=w<0.8 : , 3122, 2113
0.8<=w<=1 : , 9545, 3932
epoch, 43
-1<=w<-0.8 : 3677, 8722
-0.8<=w<-0.6 : , 5399, 8505
-0.6<=w<-0.4 : , 13780, 18672
-0.4<=w<-0.2 : , 54678, 66807
-0.2<=w<0 : , 156681, 168438
0<=w<-0.2 : , 192894, 180589
0.2<=w<0.4 : , 55788, 45124
0.4<=w<0.6 : , 8278, 18672
0.6<=w<0.8 : , 3344, 2328
0.8<=w<=1 : , 9604, 4141
epoch, 44
-1<=w<-0.8 : 3739, 9092
-0.8<=w<-0.6 : , 4899, 7776
-0.6<=w<-0.4 : , 17325, 22610
-0.4<=w<-0.2 : , 49255, 60147
-0.2<=w<0 : , 155668, 167601
0<=w<-0.2 : , 180917, 170075
0.2<=w<0.4 : , 54900, 44884
0.4<=w<0.6 : , 7486, 22610
0.6<=w<0.8 : , 2553, 1779
0.8<=w<=1 : , 10182, 4482
epoch, 45
-1<=w<-0.8 : 3799, 9222
-0.8<=w<-0.6 : , 5162, 8360
-0.6<=w<-0.4 : , 13796, 18508
-0.4<=w<-0.2 : , 52899, 64513
-0.2<=w<0 : , 153879, 163746
0<=w<-0.2 : , 182760, 171051
0.2<=w<0.4 : , 51939, 42208
0.4<=w<0.6 : , 7198, 18508
0.6<=w<0.8 : , 3525, 2329
0.8<=w<=1 : , 9520, 3712
epoch, 46
-1<=w<-0.8 : 3445, 8227
-0.8<=w<-0.6 : , 4464, 7259
-0.6<=w<-0.4 : , 9825, 13124
-0.4<=w<-0.2 : , 52356, 62871
