0.2<=w<0.4 : , 2, 1788
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 44, 1828
0.8<=w<=1 : , 2586, 135
epoch, 39
IH, 0.713052, HO, 0.852095
-1<=w<-0.8 : 6694, 335
-0.8<=w<-0.6 : , 65, 2273
-0.6<=w<-0.4 : , 0, 413
-0.4<=w<-0.2 : , 0, 2107
-0.2<=w<0 : , 0, 242
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1788
0.4<=w<0.6 : , 1, 97
0.6<=w<0.8 : , 43, 1827
0.8<=w<=1 : , 2585, 134
epoch, 40
IH, 0.728599, HO, 0.858901
-1<=w<-0.8 : 6712, 340
-0.8<=w<-0.6 : , 62, 2270
-0.6<=w<-0.4 : , 0, 413
-0.4<=w<-0.2 : , 0, 2105
-0.2<=w<0 : , 0, 242
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1788
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 41, 1826
0.8<=w<=1 : , 2586, 134
epoch, 41
IH, 0.730545, HO, 0.858081
-1<=w<-0.8 : 6733, 340
-0.8<=w<-0.6 : , 64, 2267
-0.6<=w<-0.4 : , 0, 414
-0.4<=w<-0.2 : , 0, 2104
-0.2<=w<0 : , 0, 242
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1788
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 42, 1826
0.8<=w<=1 : , 2584, 135
epoch, 42
IH, 0.733465, HO, 0.858205
-1<=w<-0.8 : 6739, 345
-0.8<=w<-0.6 : , 64, 2265
-0.6<=w<-0.4 : , 0, 414
-0.4<=w<-0.2 : , 0, 2103
-0.2<=w<0 : , 0, 242
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1786
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 42, 1824
0.8<=w<=1 : , 2583, 137
epoch, 43
IH, 0.742714, HO, 0.849716
-1<=w<-0.8 : 6765, 332
-0.8<=w<-0.6 : , 64, 2265
-0.6<=w<-0.4 : , 0, 414
-0.4<=w<-0.2 : , 0, 2102
-0.2<=w<0 : , 0, 241
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1786
0.4<=w<0.6 : , 2, 97
0.6<=w<0.8 : , 43, 1823
0.8<=w<=1 : , 2584, 135
epoch, 44
IH, 0.740326, HO, 0.862672
-1<=w<-0.8 : 6774, 335
-0.8<=w<-0.6 : , 69, 2263
-0.6<=w<-0.4 : , 0, 413
-0.4<=w<-0.2 : , 0, 2101
-0.2<=w<0 : , 0, 240
0<=w<-0.2 : , , 2, 68
0.2<=w<0.4 : , 2, 1785
0.4<=w<0.6 : , 1, 97
0.6<=w<0.8 : , 43, 1823
0.8<=w<=1 : , 2583, 135
epoch, 45
IH, 0.721026, HO, 0.865445
-1<=w<-0.8 : 6795, 338
-0.8<=w<-0.6 : , 67, 2257
-0.6<=w<-0.4 : , 0, 413
-0.4<=w<-0.2 : , 0, 2101
-0.2<=w<0 : , 0, 239
0<=w<-0.2 : , , 1, 68
0.2<=w<0.4 : , 3, 1783
0.4<=w<0.6 : , 3, 97
0.6<=w<0.8 : , 41, 1820
