0.4<=w<0.6 : , 8066, 0
0.6<=w<0.8 : , 4903, 0
0.8<=w<=1 : , 7727, 0
epoch, 47
-1<=w<-0.8 : 7194, 0
-0.8<=w<-0.6 : , 7864, 0
-0.6<=w<-0.4 : , 20312, 0
-0.4<=w<-0.2 : , 80238, 0
-0.2<=w<0 : , 229045, 0
0<=w<-0.2 : , 253232, 0
0.2<=w<0.4 : , 65007, 0
0.4<=w<0.6 : , 9606, 0
0.6<=w<0.8 : , 4959, 0
0.8<=w<=1 : , 6925, 0
epoch, 48
-1<=w<-0.8 : 7868, 0
-0.8<=w<-0.6 : , 9337, 0
-0.6<=w<-0.4 : , 19241, 0
-0.4<=w<-0.2 : , 94471, 0
-0.2<=w<0 : , 234973, 0
0<=w<-0.2 : , 270698, 0
0.2<=w<0.4 : , 66565, 0
0.4<=w<0.6 : , 9997, 0
0.6<=w<0.8 : , 4578, 0
0.8<=w<=1 : , 7975, 0
epoch, 49
-1<=w<-0.8 : 8060, 0
-0.8<=w<-0.6 : , 9200, 0
-0.6<=w<-0.4 : , 23205, 0
-0.4<=w<-0.2 : , 94251, 0
-0.2<=w<0 : , 245286, 0
0<=w<-0.2 : , 290344, 0
0.2<=w<0.4 : , 69298, 0
0.4<=w<0.6 : , 10505, 0
0.6<=w<0.8 : , 5254, 0
0.8<=w<=1 : , 7665, 0
epoch, 50
-1<=w<-0.8 : 7787, 0
-0.8<=w<-0.6 : , 8626, 0
-0.6<=w<-0.4 : , 21916, 0
-0.4<=w<-0.2 : , 93437, 0
-0.2<=w<0 : , 242191, 0
0<=w<-0.2 : , 278404, 0
0.2<=w<0.4 : , 68078, 0
0.4<=w<0.6 : , 8834, 0
0.6<=w<0.8 : , 5730, 0
0.8<=w<=1 : , 8128, 0
epoch, 51
-1<=w<-0.8 : 7356, 0
-0.8<=w<-0.6 : , 8224, 0
-0.6<=w<-0.4 : , 20734, 0
-0.4<=w<-0.2 : , 86334, 0
-0.2<=w<0 : , 225338, 0
0<=w<-0.2 : , 258133, 0
0.2<=w<0.4 : , 64136, 0
0.4<=w<0.6 : , 8475, 0
0.6<=w<0.8 : , 4578, 0
0.8<=w<=1 : , 7369, 0
epoch, 52
-1<=w<-0.8 : 8150, 0
-0.8<=w<-0.6 : , 8262, 0
-0.6<=w<-0.4 : , 21364, 0
-0.4<=w<-0.2 : , 88754, 0
-0.2<=w<0 : , 230828, 0
0<=w<-0.2 : , 272180, 0
0.2<=w<0.4 : , 68334, 0
0.4<=w<0.6 : , 9450, 0
