param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, pLA, nLA, pLAd,nLAd, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, epoch, accuracy, average accuracy, standard deviation, adaptive ratio, area sizeIH, area sizeHO, learningratesplit, Gth1, Gth2, usesplitadapt, unitcellsplit, saturationprotector, destructionprotector, deltaweightratio, usesplit, adaptivesplit Gth1, adaptivesplit Gth2
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 62, 90.33, 89.9817, 1.6715, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 63, 91.44, 90.0938, 1.65227, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 64, 88.49, 89.9793, 1.64488, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 65, 83.36, 89.538, 2.29162, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 66, 90.4, 89.5919, 2.22864, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 67, 90.65, 89.6541, 2.17638, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 68, 90.04, 89.6756, 2.11691, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 69, 90.67, 89.7279, 2.07238, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 70, 89.23, 89.703, 2.02282, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 71, 90.71, 89.751, 1.98568, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 72, 88.71, 89.7036, 1.95211, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 73, 89.46, 89.693, 1.90985, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
SGD, 2, -5, 2, -5, 128, 128, 128, 128, 0.3, 0.3, 0.3,0.3, inf, inf, 3, 3, 1, 4000, 0, 0, 74, 91.16, 89.7542, 1.89248, 1.0012, 100, 10, 3, 1, 7, 0, 1, 1.2, 0, 1.2, 1, 1, 7
