count [L.N(Gp)+L.N(Gn) = 2] : , 10182
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25388
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 10
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5420
epoch, 40
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.999271, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10170
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25421
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5409
epoch, 41
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.999265, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10257
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25346
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 12
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5385
epoch, 42
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.999261, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10181
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25428
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5391
epoch, 43
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.999255, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10138
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25476
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 14
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5372
epoch, 44
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10242
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25410
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5348
epoch, 45
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10202
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25482
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5316
epoch, 46
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10129
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25547
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5324
epoch, 47
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10282
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25433
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5285
epoch, 48
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.999222, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10318
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25397
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 10
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5275
epoch, 49
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.999218, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10474
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25263
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5263
epoch, 50
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.996838, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10565
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25177
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5258
epoch, 51
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10593
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25150
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5257
epoch, 52
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998374, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10552
count [L.N(Gp)+L.N(Gn) = 5] : , 1
count [L.N(Gp)+L.N(Gn) = 3] : , 25209
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5237
epoch, 53
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 0.998371, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10577
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25198
count [L.N(Gp)+L.N(Gn) = 6] : , 0
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 0
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 5225
epoch, 54
P(areanumbersum = 4 | Gp,Gn>=Gth2/10) = , 1, 1
count [L.N(Gp)+L.N(Gn) = 2] : , 10635
count [L.N(Gp)+L.N(Gn) = 5] : , 0
count [L.N(Gp)+L.N(Gn) = 3] : , 25154
count [L.N(Gp)+L.N(Gn) = 6] : , 0
