param->optimization_type, NL_LTP_Gp, NL_LTD_Gp, NL_LTP_Gn, NL_LTD_Gn, kp, kd, knp, knd, LAp, LAd, pLAd,nLA, pof, nof, newUpdateRate, nnewUpdateRate, ReverseUpdate, RefreshRate, FullRefresh, dominance, wv, epoch, accuracy
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 123, 84.9
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 124, 85.4
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 125, 84.92
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 126, 84.97
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 127, 84.81
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 128, 85.11
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 129, 85.25
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 130, 84.68
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 131, 85.02
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 132, 85.12
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 133, 85.24
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 134, 85.14
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 135, 84.91
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 136, 85.49
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 137, 85.06
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 138, 85.09
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 139, 85.48
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 140, 84.5
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 141, 85.09
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 142, 84.89
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 143, 85.4
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 144, 85.47
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 145, 85.75
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 146, 85.55
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 147, 85.25
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 148, 85.25
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 149, 85.55
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 150, 85.26
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 151, 85.26
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 152, 85.41
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 153, 84.99
SGD, 1, -9, 1, -9, 128, 128, 128, 128, 0.2, 0.3, 0.3,0.2, 12.5, 12.5, 6, 6, 0, 5000, 1, 1, 0, 154, 85.23
